"id_list","star_list","txt_list"
"ekrc****","1","내가 원래 별점 안남기는데 니들 돈 아끼라고 남겨줌  "
"says****","1","알바들 진짜ㅋㅋㅋㅋ    너무 티나네  "
"하루하루(ryth****)","1","알바가 많은 건지 뽕짝을 좋아하는 건지...  "
"매수끝판왕퍼거슨(mypu****)","5","아니 무슨 평점이 10점아니면 1점이 이리 많아. 너무 극과 극을 달리는거 아닌가?  다른 영화들도 그렇고 평점이 의미가 없어지네..알바 너무 티난다.  "
"이준하(joon****)","10","진짜 보면서 소름돋앗음ㅠㅠㅠ 10점이 아니라 100점인데 엄청재밋음  "
"김씨유(rlar****)","1","글상태를보니 댓글알바가 정말 있네요 좀 참신하게 적어라 조내 가식적이네  "
"버블네이처(0010****)","2","니그들 다 알바지?영화보는 동안 웃어본적이 없음.영화보고 난 후 남친이 이영화 장르를 물어보는데...이영화 장르가 어찌 되나요?ㅡㅡ  "
"cjst****","2","ㅈㄴ재미없네ㅅㅂ알바한테 당했네ㅡㅡ  "
"우연처럼(jinn****)","1","뭐야... 알바들 너무 티나는거 같은데...  "
"MIL(ehdg****)","10","최고 진짜로 정치판 이야기  "
"소리그림(jdsh****)","10","재밌는 영화. 주연,조연,단역 배우들의 연기가 좋은 영화..  "
"AcousticBoy(acou****)","8","관람객킬링타임용으로 딱 좋은 영화  "
"메롱(joan****)","8","웹툰원작인지 모르고 봤어요- 원작을 보신분들은 다르게 느끼실수도있겠지만, 원작을 안본상태에서 영화를 보니까 전개가 어색해요 그치만 김래원 연기가 너무좋아서 재밌게봤어요  "
"kyun****","10","와우~믿고 볼수있는 영화지친 일상의  핵사~~너무 좋아요~♡♡♡  "
"룰루랄라v(bees****)","10","기대보다 그이상~~ 김래원배우님 넘 멋쟈요~♡♡  "
"yokj****","10","지루하지 않고 재밌었음, 부모님과 보기 딱 좋은 영화  "
"보카리(dltk****)","10","영화같은 얘기지만 좋았어요  "
"승기가왔다(jsg7****)","8","관람객그냥저냥 볼만했었음..  "
"__(miji****)","10","기대없이 봤는데 진짜 재밌었어요김래원 나왔던 거 다시 볼 예정입니다  "
"HEEYA(huiy****)","10","솔직히 진짜 기대안하고 봤습니다.다보고 사람들이 다빠져나가도 모르고 앉아있었어요..더 보고싶은 아쉬움만이 남아서.. 오늘 또 보러갑니당ㅋㅋ제가 놓친부분이 있을까싶어 남자친구꼬셔서 또가요ㅋㅋ재밌고, 감동있고, 시간가는줄모르고 봤습니다^^  "
"kbm2****","10","완전 재미있는데 입소문이안났듯하네요 추천  "
"anes(anes****)","10","관람객괜한 감정낭비없이 마음 졸이지 않아도 되는 영화, 유괘한  롱킹, 배우들의 연기만으로도 2시간이  금방 가버리네요.  "
"메텡이(paj4****)","8","새삼 래원이가 이래 멋졌음? 까메오 마동석 등잔신 갠적으로 빵 터짐!  "
"지브라(hsoj****)","10","액션씬과 간간히 있는 웃음포인트 그리고 특급 까메오 출연까지 재밌는영화!  "
"또만나요(web2****)","7","첨엔 진부할줄 알았는데 약간의 러브드라마도있고  코믹도 있고  볼만했네요. 김래원이 연기를 잘했음  "
"미래는(mssa****)","10","은근 감동도 있고 재밌고 다들 연기도 잘하고 좋았어요 김래원 멋지장~  "
"똑똑한 부자(kgy7****)","10","굿 재미있음간만에 웃었음  "
"날둥이(dltk****)","10","영화보고 나와서 삼겹살에 술한잔하는데 되도않는 전라도 사투리를 따라하면서 즐겁게 술먹엇다  "
"gozj****","8","생각없이 보기에는 좋음.  "
"이누야샤12(dlck****)","10","김래원 연기력 ㅎㄷㄷ진선규 존나 웃김ㅋㅋ  "
"고지원(0829****)","10","김래원 넘 멋짐 폭발억지스럽지 않은 자연스러움이 좋았던 영화  "
"지천태(sadd****)","8","엄청 재밌진 않고~ 근데 김래원은 정말 멜로가 너무 어울려 심쿵~  "
"모던(as67****)","10","김래원씨가 연기로 모조리 씹어드심..  "
"넵(tjrq****)","10","솔직히 말하면 댓글알바아니구쫌 지루할수있다는 점은 당연히있음정치하는 이야기다보니 지루할수있지 하지만 그점 빼면 비난할정도로 재미없는거아님김래원이면 믿고본다는말 괜히나온것두 아니고 연기도좋구 재미도 충분히있음!!  "
"바이킹(bpks****)","9","믿고보는 김래원 영화 꾸루잼  "
"사랑의온도(yoqi****)","8","가벼운 영화일거라고 생각했는데 굉장히 단단한 영화였어요 재미있게 봤습니다  "
"은지콩(leee****)","6","그냥 뻔한영화, 처음부터 결말이 보이고 과정이 생략되서 후딱후딱 구렁이담넘듯 넘어갔다. 그냥 재미로는 잘 봤으나 아쉬움. 하지만 김래원은 멋졌다  "
"seoJ2(jerr****)","7","쓸데없는 오버와  스토리를 꼬고, 꼬는게 없어서 편한 영화..  "
"hake****","6","그닥...  왜 철거상인들은 항상 피해자고 선인이라고 생각하는거지?  "
"박수오(suo9****)","10","뭔가 뻔한 스토리일 것 같은데 뻔하지 않은..? 빈틈 없고 잘 짜여진 영화 같아요ㅋ  "
"주댕(wndu****)","8","관람객너무너무재미있게 잘봤오용  "
"룰룰루(jusu****)","10","배우들 연기력도 좋고 영화내용도 알차고 재밌었습니다.많이 웃고나왔어요 ㅋ  "
"조형매(rock****)","10","그냥 계속 웃으면서 봤어요. 그리고 마지막은 진짜.ㅋㅋㅋ생각도 못 한 장면.ㅋㅋ  "
"아오(smj6****)","10","ㄹㅇ졸잼임;;;21  "
"rmfl****","10","난 잼던뎈ㅋ아니근데 재미없게 본사람들중 평점좋은건 다 알바라고 생각하는 사람은 무슨꽉막힌마인드지 왜 재미있게 본 사람들 감정은무시함 자기네가 재미없었으면 다른 사람들도 다 재미없어야하나?걍 자기들은 잼없엇다고 하면되지ㅋㅋ각자 취향이 다다른건데  "
"곰돌양(agig****)","10","오랫만에 러닝타임 내내 재미있게 봤어요. 나름의 감동도 있었고 누구 연기못하는 사람은 하나도 없고, 주조연 모두 너무 잘 어울렸어요, 스토리도 억지감동 아니구욥! 재밌었습니다  "
"김정훈(rap9****)","10","오늘 보고왔어요 연인끼리 봐도 재미있는영화입니다^^  "
"nova****","10","재밌음 ㅋ한번봐보시길  "
"강도경(kang****)","10","심심해서 봤는데 재밌습니다. 추천!  "
"핸잉잉(rkd9****)","10","진짜재밌게봤음 김래원연기잘함  "
"lsh3****","10","이렇게재밌는데ㅎ1111  "
"박경희(pkh7****)","10","편안하게 아무생각 없이 즐겁게 볼 수 있는 영화 !!! 보는 내내 빵 터고 김래원의 연기에 감탄했다  "
"sex1****","9","관람객재밌었음 웃기기도하고 연기잘함  "
"기계제도(fff2****)","8","관람객잼나던더요볼만합니다  "
"럭키짱(jky0****)","10","빵빵 터지고 웃기면서도 스릴있고 감동있고 재밌었어요~~^^  "
"charmant(pari****)","10","개인적으로 극한직업보다 나은듯요  "
"lazy****","3","하...ㅠ휴...ㅠㅜ후하ㅠ 내시간...  "
"빛돌이들(bibi****)","10","정말 재미있어요 굿굿 돈 안아까워요 꼭 보세요  "
"철옹성(rlad****)","8","필요없는액션빼서 담백  "
"hya0****","10","김래원 배우에게 홀딱 반했어요^^  넘 재밌습니다. 영화 중반부부터 계속 웃다 나왔네요ㅎㅎㅎ  "
"박미철(kkkx****)","10","시간가는줄 모르고 봤습니다 폭력적이지도않고 잔인하지도 않고 때론 코믹 하기도하구요~~  "
"딩링딩(chld****)","10","무거운주제같지만 실제로보면 잼잼배우분들이연기를다잘하셔서 어색함이1도없음~그리고중간중간에 특별출연하는분들있어서 다잼잼ㅋㅋ암튼!  진짜 재밌고 결말도 시원하게끝나고 볼만한영화임  "
"별찌(wltj****)","10","꿀잼 김래원 연기진짜잘하더라...ㅎㅎㅎㅎ  "
"빵구발사(rlae****)","10","관람객완전 재밌어요 김래원 연기보면서 계속 뭔가 뭉클하고 짠했어요 두번보고 싶음  "
"블리연서(tnrl****)","10","김래원의 연기와 전성규외 다른 모든연기자분들 훌륭했고 정치를 다룬 이야기라 지루할꺼라는 편견을 완전히 깨부신 재미까지 갖춘 저에게는 완벽한 영화였어요 ^^  감독님 연출 대단하시고요 재밌었습니다 역시 믿고보는 김래원님 사랑합니다??  "
"빠마(k973****)","10","정치는 진실된 사람이면 누구나 다 할수있다라는걸 말해주는 영화?김래원 구수한 사투리 정말 잘하는듯  "
"요가피플매니저(wlsc****)","10","관람객오락영화로 더할나위 없이 좋았어요~재미보장!!  "
"30sexy(pppl****)","10","영화잼잇게봣습니다ㅎㅎ조주특단 배우들 연기짱입니다ㅎㅎ남편이랑저랑울배속에잇는아기랑잘봣습니다^^김래원배우님여전히 멋잇네요ㅎㅎ  "
"이소라에요(thfk****)","10","기대없이봤는데재미짐  "
"스노우(loli****)","10","기대안하고 봤는데 넘 재밌게 봤음!!!김래원도 멋지고.. 다른 조연배우들의 연기도한 몫함  기생충 보다는 훨 나았음  "
"리오넬 메갈(many****)","7","저 비만 환자인데 극 속에 나오는 조연 배우들을 자꾸 돼지라고 부르면서 웃음거리 만드는게 불편했습니다. 더이상 비만 환자들을 능욕하지 말아주세요.  "
"토끼와양(so67****)","10","연기김래원 넘멋지고액션좋아요  "
"꿀꿀잉잉(choc****)","8","관람객정치얘기만 아니면 좋았어요 김래원 진선규 믿고보는 연기!!! 재밌어서 좋아요 ㅎㅎ  "
"꽃두련(jeon****)","10","최고에요역시 김래원 짱짱  돈이안아까움  "
"THRDJ61(qkrd****)","10","진짜 재밌고 배우님들 연기도 잘하셔서 웃으면서 몰입가능! 제가 극장에서 영화보는 도중 박수갈채 나온 적 처음이었습니다! 김래원배우님 너무 귀엽게나오고ㅠㅠ 귀엽고 멋지고 웃깁니다. 영화 너무 재밌어요 두번 세번 더 보고싶네요!  "
"레코(tax2****)","10","최고다. 근데 관객수 왜저래? 제대로된 영화좀 봅시다.김래원 연기력 쩔어 ㅎ  "
"패랭이꽃(boon****)","10","목포영웅 별기대없이  봤는데 재미있네요 ~  "
"나오미(hyss****)","10","너~~~~무 잼나게 봄.. 또보고싶을정도로 잼나요....근데 상영관이 별로 없는게 아쉬움  "
"이영지(dldu****)","10","영화 너무 괜찮은데!!!!  "
"김현지(rlag****)","9","목포사람인데 김래원 사투리 연기에 놀람 오버스럽지도 않고 적당하게 잘 소화함 볼수록 잘생겨보이게 됨.. 초반 전개에 비해 급전개, 급마무리가 아쉽긴 하지만 가볍게 볼만함!!!!  "
"올드스쿨러(olds****)","8","전개가 너무 급작 스럼다. 그거 빼곤 재미,유머 다있음  "
"경리맘(mrg7****)","2","관람객진짜재미 없어요ㅠㅠ 영화 보고 싶은데 볼께 없어서 밧는데 재미 없고 김래원 연기 쩔어욧  "
"tsll****","2","솔직히 웹툰 보신분들에게는 비추합니다웹툰 1류, 영화 3류? 이정도 느낌입니다  "
"채여울(yeou****)","2","엄청엄청 유치찬란....적어도 포스터 벽 훼손하면벌금냅니다~  "
"내가욕심냈어(lala****)","8","김래원 하드캐리 /여주 아쉽.  "
"eun_****","10","관람객역시 김래원이다! 내용도좋았지만 연기력이 더 살렸다  "
"EL(subs****)","5","김래원 연기는 인정. 하지만 이야기는 무엇을 말하는지 알 수가 없었다. 조폭 영화도 정치 영화도 로맨스도 코미디도 아닌... 아무것도 알 수 없게 된... ㅠ  "
"푸냔(pooo****)","10","김래원 연기최고ㅠㅠㅠ 사투리하나도 안어색햇어요 존잼  "
"애자(kkot****)","10","김래원이 이렇게 섹시한 배우였나...오랜만에 심쿵한 영화였다한동안 그 노래만 들을 듯♡♡♡  "
"hans****","10","역시 믿고보는 김래원!!  "
"아도르(cart****)","10","가족들과 가벼운 마음으로 즐겁게 보기 딱 좋네요~  "
"이강빈(jip0****)","10","호불가 솔직히 심한것 같네요 웹툰이 너무 재밌어서 그런가..저는 몰입 잘됬고 재밌게봤네요  "
"박준영(jjju****)","10","이게 재미없으면 대체 뭘보고 웃는건지ㅠ  "
"jin(duwl****)","10","제발 꼭보세요 ㅠ ㅠ 재밌어요 김래원멋있어요!  "
"현수(dhkd****)","10","이게 왜 흥행안하냐 ㅡㅡ...  "
"Jiny(so__****)","2","원진아는 이런데 마다 다나오네  "
"긴네크(sung****)","6","솔직히 극한직업보다 훨재미없고 코미디 장르에 어설픈 정치이념까지 곳곳에 들어가서 별로였음. 극 전체적인 전개도 너무 비현실적임  "
"김강빈(play****)","10","광주불곰 나오자마자 개반갑  "
"도란도란(rhde****)","1","저는 별로였습니다.. 죄송합니다.  "
"수영수인이아빠(jsle****)","4","원작   승리...디테일 너무 약함  "
"최재욱(ital****)","2","좋은 배우들 쓴다고 다 잼있는건 아니구나..  "
"라무네스(juli****)","4","오래전 만연했던 조폭영화의 피로감을 오랜만에 느꼈다. 까메오에서만 빵 터졌다. 올드하다 못해 진부하고 구차했다.  "
"exolian(muns****)","2","감독이 영화마지막에 갑자기 배우들에게 노래를 시키는 이유 - 다 만들고 보니 뭔가 아쉬워서 뭐라도 좀 해보려고  "
"Emily(emil****)","2","앞장면이 1000% 예상 가능한 손발 퇴갤되는 영화  "
"글쎄(minj****)","5","쌍팔년도 시나리오..  "
"joon****","5","태식이형 의리로 봤습니다 연기는 좋은데 스토리 전개나 디테일이 너무 떨어져서 그냥 킬링타임용 인거같아요  "
"안주연(wndu****)","6","Cgv에서 지금 보고 나오는 길입니다 . 범죄도시를 너무 재밌게봐서 너무 큰 기대를 해버린건지 ; 전개가 아쉽네요  "
"cine(narw****)","10","웃기고 통쾌하고 액션신도 좋고 만족  "
"어울림(kts1****)","2","범죄도시 감독이라길래 기대하고 봤는데  스토리가 올드함!  "
"뜻밖의행운(char****)","2","80년대에 나왔으면 어울릴듯. 애들 보는 만화도 아니고 구닥다리에 유치하네.  무관심 10점 알바들만 남아서 자위해봐야..  "
"서녕이81(sun8****)","2","별한개도 아까운영화...  명절에 그냥 틀어줘도 볼까말까하니 비싼돈들여서 보시지는 마세요진짜 너무 뜬금없이 흘러가는... 에효글쓰기도싫으딘  "
"dmst****","10","난 재밌게 봤음 이 영화가 재미가 없다면 뭐지?  "
"황씨부인(kiss****)","2","한마디로 시간아까운 영화  "
"사사(pams****)","10","역시 믿고보는 배우 김래원이드아!!양화가 잼있다. 안보고 쓰지말고 일단봐바라  "
"조미미(chom****)","10","믿고보는 김래원!!! 연기력 짱  "
"simp****","10","정말 재밌어요 시간가눈줄모르고 봤네요  "
"my2w****","10","영화의 처음부터 끝날때까지 상상도 못한 엔딩이 나와버림,,, 최고의 반전 ㅋㅋ  "
"Valen(kop3****)","10","엄청재밌네여 꼭봐야되는영화  "
"nb63****","1","별점1나주는 이유를알겠음 ㅋ  "
"콩알이S2(sjy7****)","10","너무재미있게보고왔어요^^  "
"똥비(tidl****)","10","최고다ㅜㅜ 정말 재밌음  "
"박진희(ref3****)","10","간만에 웃었네요 웃게해줘서고맙습니다  "
"hyj(jhs8****)","8","호쾌하고 유려하게 그려낸다  "
"JHY(wjj2****)","10","존꿀잼입니다 ㅋㅋㅋㅋ잘웃다나왓네요  "
"엉뚱겅쥬(godt****)","10","오락영호ㅏ ㅎ 가볍게 볼만합니당 ㅎㅎ  "
"플라워(jhhy****)","10","관람객너무 재미있게 봤습니다!  "
"sy03****","10","역시 김래원이네요^^ 모든배우분들 연기도 완전 굿!! 깜짝출연 배우분들도 좋구요 ㅋㅋ  "
"Mfjduf(ldhi****)","10","너무 재미있고 잘봤습니다 ㅎㅎ 강력추천드립니다  "
"정용신(jys6****)","10","관람객진짜 래원오빠보는데시간다가버려부러써.. 왤케멋잇는겨ㅠㅠ  "
"포세이돈(clov****)","10","목포의 멋진 바다풍경등 영상미 그리고 김래원 멋있었습니다  "
"에이에이치(anky****)","10","재미있게 봤습니다감동도 있었고...  "
"rena****","10","도라와꾸나 김태시기~  "
"본(kknd****)","9","엉성한데 말도안되는데 재밌음  "
"야리(o939****)","10","진짜 너무 재밌어요... 뻥아니라 진짜 안보는사람 없었으면 좋겠어... 왜이런게 못뜨는거야.. 와아니 진짜 대박.... 김래원님 연기 대박ㅠㅠㅠ  "
"p216****","10","김래원 연기 잘해요! 전 신랑이랑 재밌게 봤습니다  "
"루이(pana****)","1","진짜 재미없어요 걍 명절날 티비나오면 볼까말까한 스토리  "
"가즈아(luck****)","7","소재는 좋은데 흐름이 너무 가볍게 느껴진다. 여주 역할은 대체 뭘까?  "
"몽콕(rout****)","4","이거 9,10 점 주는 사람 정체가 뭐냐? 어휴  "
"우비소년(s7s5****)","1","알바에 낚였다.. ㅠㅠ  "
"뭉치(toto****)","4","댓글에 낚여서 본 영화. 끝까지 잘참고 본 내가 기특  "
"폼(pooh****)","2","진짜 이런영화는 티비로 보세요 평점 보러갔다가 하... 알바 댓글 진짜많구나 싶었어요  "
"은실콩(didw****)","1","영화보다가 나가고싶긴 처음이네 그냥 스토리도그렇고 모든게 다 재미없음;;;  "
"허둥9단(rebo****)","2","어제심야영화로 봤는데 평점 조작에 속았다 .... 진부하고 뻔한스토리전개에  B급액션에 어이없는상황에 개그코드가 나옴.. 딱 다운받아 보면 될 영화임 2만원이 아까웠다  "
"최유연(winn****)","1","핵핵핵노잼 래원오빠..왜 이 작품을..ㅜㅜ  "
"ㄴㅇㅇ(2311****)","1","알바들 진짜 싹다 허위광고로 잡아다 족치고싶다  "
"사띠팬(mkus****)","1","광주사태 미화 아니면 대기업을 무조건 죽일넘으로 만들어버리는 한국영화계의 행태를 이제는 그만보고싶다.  "
"김성윤(kims****)","2","원작을 너무 각색했다.  "
"cduh****","2","안봄안봄안봄ㅋㅋㅋㅋ  "
"김창현(kc10****)","1","믿고 거르는 한국영화^^  "
"Wozbowie(wkdw****)","1","오태식이 돌아갔구나.  "
"sooj****","2","내뺨을때린건 너가처음이야  "
"으하하하(sprk****)","4","별로임  스토리도 너무 억지스럽고, 중간에 웃긴장면 몇 개 빼고는. 평점 후하게 4점 줌  "
"유지곤(ryuj****)","2","엉성한전개 비디오용 영화다. 같이간 동료 셋 공통의견임  "
"김향숙(atod****)","6","평점이  과한듯  기대이하  "
"생날파람(shab****)","4","국밥의 레시피 개선이 시급하다. 오래되었다고 다 맛있는건 아니다.  "
"RedEye(jwj0****)","6","잘만든 뻔한 B급 한국영화. 개유치한데 이게 빵빵터진다니 대박이라느니 하는 사람들 정신수준이 의심스러움..  "
"선인장(eden****)","4","김래원 오늘 남천동에 무대인사 왔는데 왜그렇게 힘이 없었는지 알겠더라.. 영화가 기억에 남는 장면이 없음..  "
"버몬트(sait****)","5","관람객신파.. 아쉬웠다.. 연출은 좋지만 스토리가 식사하다  "
"료마(daka****)","4","와 유치찬란하다. 범죄도시 감독 작품이 맞는가 ㅡㅡ;  "
"dda0****","1","차라리 해바라기 보는게 나음 오그러든다 진짜  "
"이안(ldk1****)","2","두사부일체가 나왔던 2001년에 나올 영화가 왜 이리 늦은 거야?  "
"김민수(hope****)","10","정말 재밌긴한데 관객수가 왜이리 안늘지진짜 입소문을 너무 못타는거 같네요 기대하고 보셔도 후회안할정도입니다!!꼭 보세요 !  "
"루니(jord****)","1","조폭이 여자한테 반해서 국회의원출마 결심!~ 먼가 쫌 이상한 스토리에...뻔한 전개...와 진짜 돈 아깝다!~ 적극 말리고 싶음..그냥 케이블 방송으로 무료로 볼만한정도수준영화...이건 영화라고 하기도 그러하네..  "
"shth****","10","관람객넘 재밋어용 코믹영화에여  "
"손흥민짱(kim4****)","10","나름 잘 만들었는데?? ㅋㅋ  "
"안녕(csap****)","10","배우들 연기에 놀랍니다 ㅋㅋ  "
"zola****","10","꿀잼입니다~ 김래원 연기 좋고~ 오락영화로는 딱 최고입니다!!  "
"DDD(drop****)","10","정말 기대안하고봤는데 너무 재미있게 봤습니다.  "
"csr8****","10","장세출 멋찜! 재밌고 감동 있고 다했넴~^^  "
"윤가영(youn****)","10","울고 웃고 너무 재밌었어요! 김래원의 진심이 담긴 연기 진짜 멋있어요  "
"최범준(beom****)","10","사랑하는 말 내게 눈으로 하고 싶은 말  "
"jsnj****","10","관람객영화 재밌어요~ 김래원..연기도 진짜 잘하구요^^  "
"야야요(kimy****)","10","찐짜.   재밎음.    특히 의외인 두분 ㅋ  "
"fjqm****","10","영화내용은 어디서나 볼 수 있어서 새롭지는 않았지만 이것을 김래원배우가 연기로 살려냈어요가볍게 보면 재미있어요!!  "
"김미숙(kimm****)","10","김래원 연기진짜 대박~자연스런 사투리 정말 재밌게 봤어요~^^새로 봤어요 김래원~^^대박나세용  "
"고광혁(gang****)","10","김래원행님 최곱니다 !!  "
"포로리(ujs2****)","10","영화 엔딩까지 너무 재밌게 봤어요ㅎㅎ  "
"강철쇄골(dkfw****)","10","ㅋㅋㅋㅋ까메오 재밌네요  "
"박사장(okbk****)","10","잼나요~김래원짜응~~  "
"ekyu****","10","재밌네요 시간가는줄 몰랐어요  "
"미친어린이(kill****)","10","기분좋은 영화입니다 주말에 재밌게 봤네요^^ 까메오들이 한몫 톡톡히 한듯 ㅎㅎ  "
"의열단(kihy****)","10","오태식이 돌아왔구나???영화 재밌음ㅋㅋ!!! ?  _  ? 무대인사여서 배우들도 봤음ㅋㅋ 김래원 키ㅜ크다 ㅋㅋ  "
"첨단김씨(do42****)","10","오락영화! 재미있습니다!!  "
"book****","10","영화보러 갔는데 무대인사까지 보게되서 너무 좋았어요  감독님과 사진도 찍고영화도 유쾌하고 재밌었고 특히 진선규배우님 마스크랑 대사톤 너무 좋아요  "
"플이(codn****)","1","내만원 아깝고 주말이라고 영화보러왔는데 도저히 봐줄수가없다 김래원팬이었는데 진짜 유트브에서 보지말라고했을때 안봤어야했는데 ㅡㄴㅜ  "
"유용상(yooy****)","1","현실성 전혀 없음. 보지마세요 잠와요 영화가 침대가 됩니다.  "
"loui****","1","지루하고 재미었어요~~  "
"삐약(higo****)","1","오글거립니다. 김래원 팬이라 봤는데 이게 9점이라니 우리나라 영화수준이.. 하긴 극한직업이 역대 관람객2위면 말다했지  "
"Gin(taki****)","1","범죄도시 감독이라고 믿고 본 내잘못도 있지만남주 여주 캐스팅은 진짜 미쓰.완젼쒯  "
"가장동하정우(woog****)","1","1점도 아깝다 김래원 불쌍  "
"유베(roto****)","2","백만도못갈거같다..  "
"띠까쁘리오(ttob****)","4","범죄도시랑 너무 차이가 남.. 지루하다못해 잠 들뻔했슴  "
"휴식이있는삶(taku****)","1","조폭영화 조폭 미화 영화는 좀 그만 만듭시다..  조폭공화국이냐  "
"냠냠찌니(wnwl****)","1","같은 영화감독 맞나요? 너무 수준차이 나네요..시간떼우려 본거긴 하지만 많이 아쉽습니다..  "
"Nosferatu(film****)","1","강감독도 실력이 뽀록날 떄가  되었지  "
"HYP(ghsl****)","1","기대하고 봤지만 생각보다 재미가 없었습니다..  "
"기리보이(ykm0****)","2","이게 무슨 9점짜리 영화냐;; 양심도 없나보고싶음 봐라 보고 욕할거다 아마  "
"똘장군(ann5****)","6","어제봤는데평점처럼 썩재밌지는않네그저그렇다  "
"인터넷패스(kkm5****)","4","래원이형 팬인데.. 영화 끝나고 나도 소주가 생각났다.. ""꼭! 그래야만 속이 후련했을까..."" 연기는 펀치때가 제일 좋았던듯.. 1번 웃고, 1번 소름돋고, 1번 울컥하고.. 그리곤 내내 아쉬웠던 영화.. 감독판이나 무편집본 보고싶네요. 씁쓸...  "
"천둥번개태권브이(eoro****)","6","평일심야인데도 관중이 많길래 재미있는갑다 기대했는데....목포에 자유한국당의원이 1위...또 나쁜놈설정  정의당의원을 지적온화하게 미화시키고전라도  ..괴질감  "
"yaki****","2","1부작 TV 드라마 본 느낌 입니다...김래원씨 연기를 스토리가 못 받쳐 줌이 아쉬울뿐입니다.  "
"신놀(nabi****)","5","하...  닳고 닳은 극본... 캐릭터가 한 명도 살지를 못하네...  "
"혀넉이(gust****)","4","한 달만 기다리면 집에서 볼 수 있습니꽈!!!  "
"hspr****","2","각색..이렇게 밖에 할 수 없었나요?...ㅜㅜ  "
"ihg1****","1","예고편 보면 한편 다 봄....  "
"dfsdfdsaf(dlgu****)","2","아..진짜 이걸 예매하는데 쓴 데이터가 아깝다  "
"딱딱이(pump****)","4","기대 마니 했는데 별로였네요  "
"LP(ogr5****)","4","구멍 숭숭 뚫린 오래된 재질을 보는 느낌.  "
"양희신(gmlt****)","6","영화배경 지역사람입니다기대하고 봣는데. . 솔직히 중간중간 쫌 웃기고. .액션영화인가?? 코믹영화인가??정치이야기인가??감동영화인가??특별하게. .기억에 안남음. .. .약간 실망. . 생각없이 걍 보세요  "
"gods****","5","기대 잔뜩하고 봤는데 건달영화도 아니고 정치영화도 아니고 어중간한것이....  "
"검객(kjj1****)","3","4명이서 같이봣는데 4명다 재미없다고 한건 처음이네요  "
"pll3****","2","별로입니다 지루하고 유치하고...  "
"웃으면 복이 와요(tjsg****)","1","범죄도시 능가한다는 알바 평점보고 기존꺼 삭제하고 다시 평점준다  "
"리레바뮌(avai****)","1","조폭, 지역감정 영화 이젠 지겹다  "
"군인지환(chad****)","1","이게 재밋나요? 알바인가?  "
"김지윤(0609****)","10","제목부터 뻔하지만 재밌었음초반부에 너무 노잼이였고 극장사람들 왜웃는지 이해 안갔는데버스 사고 이후부터 개재밌고 마지막에 끝날때 어이없어서 웃김다들 뭐야 이게ㅋㅋㅋㅋ이러면서 웃고있음  "
"초코사탕(choc****)","10","생각지도 못한 카메오와 생각지도 못한 엔딩~^^전 여주 괜찮던데...보면볼수록 예쁘던데요~영화관에 있던 모든관객이 생각지못한 엔딩에 영화가 끝나고도 웃느라 자리에서 일어나지 못했답니다~^^  "
"강우정(wj75****)","10","관람객김래원 연기도 잘하고 최귀화배우님도 멋지고 까메오 배우님들 다 맛깔나요.무거울줄 알았는데 재미있게 보고 나올 수 있는 영화예요  "
"oozzap(oozz****)","1","관람객0점 주고싶은데 못줘서 아쉽네여 그저그랬어여 진심 신세계 친구 베테랑 이런영화보다 재밌었을거라는기대한 제가 바보였는듯 그냥 원작만화 영화화 시킨영화는 대부분 재미없는거같음 독자적으로 상상해서 감독이 만들어야 멋진작품나오는거같음  "
"유은(lye0****)","10","재밌어요! 유쾌하고 즐겁게 볼수 있는 영화!  "
"ohsk****","10","재미있네요 부담없이 웃을수 있었어요  "
"김유진(anse****)","10","최고 그한마디면 됨 래원님 너무 멋져요  "
"둘기쪼이(sunw****)","10","믿고보는 김래원 ㅠㅠㅠㅠ  "
"YuHYeon_117(dbgu****)","10","관람객영화 재미있게 봤습니다 :)  "
"mrp0****","10","김래원. 목포 사투리. 짱!!!   역시. 김래원이네요.  재밌게 봤어요.  "
"김종석(gjs2****)","10","어거지가아닌 진짜웃음으로 재미있게 감동으로 잘봤습니다 꿀잼 꼭보세요 영화대박나길 화이팅!!  "
"icandoit(sn_d****)","10","킬링타임용이라그래서 기대 안했는데 재밌어요ㅠㅠ꿀잼!! 기생충보고는 우울했는데 이거보고는 웃기만 했어요 ㅎㅎ 김래원 너무 멋있네요...??  "
"슈비똥(8778****)","10","래원이 연기 진짜 죽인다~~멋있다ㅎㅎ영화도 잼낫다~~굿굿 오태식이 돌아왔구나~~세출이로~~  "
"cjsd****","10","와 재밌었어요 김래원님 너무 멋짐!!  "
"서두르지말고멈추지않(wkdr****)","8","김래원이 짱 멋져요!!!  "
"한결같은(buti****)","10","유쾌하고 카메오도 대박! 마지막 뮤지컬느낌도 좋았어요~  "
"toma****","10","재미있는 연화군 김래원 역시...  "
"show****","1","관람객양심이있어라...그래도 나는 오태식이와 으리는 지켰다...  "
"방방이(bbe1****)","1","웹툰을 보신분이라면 실망이큽니다. 솔직히 웹툰을 너무 재미있게 봐서 영화를 기대했는데. 너무 실망했습니다. 초반 여주인공에게 반하는장면부터 대실망이였어요.  "
"ghde****","2","오태식이 때문에 봣는데.. 어쩌냐..  태식이형 이영화 시나리오 보고 출연한거 맞지 ㅠㅠ?  "
"오나하마(iwak****)","2","래원이 좋아하는데...영화보면서 웃음도 스릴도 감동도..자리에서 일어나는데 허무하더라 ㅎㅎ  "
