"id_list","star_list","txt_list"
"pcsu****","1","제가 이영화 평점을 보고 영화를 보았습니다한국영화 평점알바가 이렇게 많은줄 첨 알았네요  완전 사기맞은 기분입니다  한국영화 관계자 분들 꼭 이래야만 하는 겁니까?평점달때 영화티켓  인증샷도 올리는 방법이라도 있었으면 좋겠네요  ~최악!!  "
"왕발(keju****)","2","쉣다뻑이야 증말ㅠㅠㅠ  "
"srug****","1","10점준 알바들 진짜 너무들 하시네...친구 영화 보여줬는데  미안해 죽는줄 알았음.보는내내 밖으로 나갈까 생각만들고  친구한테 미안하다고 영화보는동안 3번 말했음.시간아깝고 돈아까운 영화임감독보고 평점보고 봤다가 완전 낚였음. 젠장억울하다  "
"정태현(acai****)","1","와!! 시간가는줄 알고 봤어요  "
"탱글이(tang****)","1","관람객여자분은 왜나옴?안나와도 이야기흐름지장없을듯여  "
"휴일(715y****)","3","돈도 아깝고 시간은 더 아깝고.  "
"김하나(fnff****)","1","ㅜㅜ 별로예요 보는 시간내내 정말 괴로웠어요.. 고문 당하는 느낌  "
"한낮의 천문학(dfas****)","4","바른생활 교과서에서나 본듯한 유치하고 순진한 시나리오.  "
"중국어통(zhon****)","1","솔직히 너무재미없다악질경찰이 오히러 낫다...  "
"mana****","1","이런 설정의 영화가 제작되니까 한국영화가 욕먹는거다!  "
"용용죽겠지(pure****)","1","시작5분도안되서 여주테 뺨1대맞고 갑자기말도안되는 스토리가 두시간내내 이어지는데 이게뭔가요 진짜여주한테 뜬금없이 반해서 두목이모든걸 내려놓고 국회의원을하는내용맞습니까?제가놓친 스토리가 있는건지;;한번도 리뷰같은거 안남겼는데 정말너무황당 그자체라남깁니다  "
"솨솨(luve****)","1","원작이 길면 좀 추릴필요가 있는데 너무 다넣었고 저세상편집에 저세상전개 저세상개연성. 개그도 안터짐. 편집 오락가락해서 배우들 감정선 다깨지고 무슨캐릭터인지 이해할수있는 캐릭터가 하나도 없음. 30부작드라마를 60분드라마로 압축한 해피타임 명작극장수준  "
"포르쉐(seef****)","1","아 놔 진짜.. 이 대한민국 영화발전을 가로막는 이 알바들 진짜.. 평점 올린다고 호박이 수박되냐? 영화판 다 그쪽 성향 아니랄까봐ㅋㅋ 니들 언제까지 티나게 깡패영화 만들래?  "
"아마미레나(sumi****)","1","겁나 재미없음 진짜로.. 뻔하디 뻔한 신파의 연속  "
"heoy****","2","겨우 참고 끝까지 봤다.  "
"유트워크(cnda****)","1","한국영화 참 가지가지하네  "
"댕이(daey****)","2","감독 너 뭐여? 깡패여???  "
"델몬트(jury****)","10","관람객끝까지 극장에서 일어날 수 없게 만드는 영화ㅋㅋㅋㅋ중간중간 웃음포인트랑 설렘포인트 다 있음!  "
"ssva****","10","관람객완전 기대이상의 웃음! 대박  재미있음! 완전  빵빵터졌음!  "
"woklele(rara****)","2","클리셰 덩어리. 김래원은 그렇다치고 맥아리없는 여주인공 나올때마다 재미없어 죽는줄.  "
"FEA(fta1****)","1","또 뻔하고 뻔한 깡패  + 부패정치 + 어설픈 신파  잡탕 스토리 에 유치한 연출 - 지금이 무슨 80년대인줄알었다  "
"김섬(cjdv****)","1","알바들  진짜많네ㅡㅡ 식상한스토리 예상은했는데 먼 김래원 처음보는 여자한테 대구빡 한대맞더니 갑자기 건달생활청산 그리고 갑자기 시민한명구하더니 국회의원 출마 그리고 당첨... 그여자랑 러브라인... 개노잼  "
"roka0813(eldk****)","1","최악의영화 절대보지마세여  "
"이주호(lee9****)","1","진심 드럽게 재미앖습니다  "
"니미보옹(crle****)","2","범죄도시는 운빨이었구나  "
"카스테라무스(winn****)","10","꼭 그렇게 다 가져가야만 했냐 이××끼들아!!  "
"풋풋한남자(skkr****)","2","와...정말 기대하고봤는데 뒤죽박죽이라는말이 딱 정말 연관없는전개 갑자기갑자기 ...김래원이 정계진출? 이유는? 정말 그냥 모든전개가 이유도없다  "
"신콩(ohsk****)","1","진짜 내가 이제껏 본 영화중에 최악  "
"sder****","1","쓰레기영화 어거지에 유치하고 지긎이 2019년도에 무슨 쌍팔년도 영화를 들이대  "
"838(rlad****)","1","꼭 이영화를 찍었어야 속이후련했냐??!  "
"ksod****","2","관람객태식이형 내년엔 제발 영화 잘고르자 나 형 팬이라구ㅠㅠ  "
"sung****","1","관람객와 여주 발연기 때문에 시작하자마자 기분팍상하던데 얘하나 때문에 B급영회 된듯  "
"하얀사자(east****)","1","평점 조작한거 아녀??  "
"운(hisk****)","1","조폭이  국회로?   아직도 조폭미화냐  "
"베라조아(qwqw****)","1","개노잼....제발 보지말아주세요..  "
"kkob****","4","오태식 기대하지마소.. 그냥 전형적인 정치 선거 영화 감동은 없음중간에 약간 피식 하는 장면 다수 포함내용전개 미흡조폭영화라고 하기에도 그렇고 정치영화라고 하기에도 그렇고 조폭내용을 담으려고 한건지정치내용을 담으려고 한건지어중간한영화  "
"하트넥타이(ilov****)","1","관람객지금까지 이런 망작은 없었다  "
"JK(jkim****)","2","정말 지루한 영화던데 어떻게 평점이 9점대?  "
"주하서(hase****)","4","재밌다고 보라고 권하지는 못하겠다.김래원 좋아하면 보셈.잘생김.  "
"진진이(hajh****)","2","너무 뻔하고 유치하고,, 갑자기 왜 반했는지도 모르겠음ㅠ 많은걸 넣으려다보니 그렇게된것같아요  "
"정품님(kiki****)","1","요즘 평점진짜이상하네..  "
"pgsb****","1","조폭 미화 만든 감독은 감독 자격 없다. 걍 때려 쳐  "
"tngu****","4","정말 솔직히 재미가없는것보다 무재미였습니다. 여주인공분 계속 이마 주름만 만들며 대사하시고 톤이며 연기며..어색했고 내용은 음 2000년대 스토리정도...  이전에 기생충을봐서 그런가 뻔한스토리에 실소만했네요 김래원씨 정말 좋아하는데 휴... .  "
"쵸코빵(dlal****)","2","정말 소름 돋는 영화입니다 특히 마지막에 나오는 영상은 어벤져스 엔드게임에서도 못느꼈던 소름돋는거를 느끼게 해주는 장면이었습니다 제가 말한게 궁금하신분들은 꼭보세요 소름돋는다는게 어떤것인지 알수있습니다  "
"polarboy(pola****)","2","웹툰을 보고 영화보면 대실망웹툰을 안보고 영화보면 실망몇권의 내용을 축약해서 넣으니 개연성 떨어짐  "
"alstothetlr(sito****)","2","범죄도시 반도 못따라가는 듯.... 정녕 같은 감독 작품이 맞는건가  "
"juns****","1","별점 살면서 처음 줘봅니다 진지하게 재미가없습니다. 예고편이 그냥 전부임  "
"인격자(maru****)","1","부끄러움과 화끈거림은 관객의 몫..  "
"박지현(jihy****)","4","첫장면부터 여주 어색..이번엔 조연들도 그냥 그랬어요 폭소할만한 장면도 그닥. 범죄도시와 같은 감독님맞나요  "
"김동주(6505****)","1","핵노잼ㅡ졸잼없음니당스스슷  "
"THikopipfin(rosl****)","4","에라잇 감독놈아! 이그 이게 영화냐??  "
"바콩(pakc****)","1","보지마세요 개짱남 돈아까움  "
"36241(rlaw****)","1","공짜로 봐서 다행인 영화  "
"이주호(lee9****)","1","진심 드럽게 재미앖습니다  "
"leea****","1","하아... 이런 영화좀 만들지말자  "
"kjh4****","2","이걸영화라고... .  "
"안혜린(okok****)","1","정말 재미없습니다 보지마세요 제발요 중간에 뛰쳐나가고싶었습니다  "
"jung****","1","하... 실시간으로 영화관입니다 끝나기 30분남았음 못나가서 버티는즁.. 영화관에서 맛집 탐색하긴처음..김래원연기가 아까워요 ㅜㅜ  "
"신태희(shin****)","2","3류 영환 줄 알았는데 4류 영화였다  "
"신예당전소장(wlq0****)","1","오늘도 열일하는 알바...영화판은 알바써서 평점 조작하는게 문화인가요 ㅠㅠ  "
"공인중개사 임아람(worm****)","1","아... 진짜 보지마세요  "
"맹지(mjin****)","4","내용 정말 그저 그렇네요...재밌지도 재미없지도 않지만 내용 전개가 상세내용이 빠지고 흐르는 듯한 느낌  "
"케이(toss****)","1","진짜 저원래 이런거 안쓰는데 진심 너무 재미없네요 태어나서 이런댓글 처음 써봅니다 이거 재밌다고 하는 사람은 진짜 강냉이털어야 됩니다 아내돈  "
"aa77****","1","별반개도 아깝다.살다살다 이렇게 재미없는 영화는 처음이다..  "
"이영현(oh18****)","1","기대없이 보고 기대만한 영화였음앉아있는동안 그냥 나가고싶었음  "
"데빌민(allz****)","2","진짜 OO노잼  아개짜증 돈아까워  "
"김구(dkfh****)","1","개재미없다 보지마세여  "
"csw9****","1","래원이형이 첨으로 나에게 실망을 줬다...  "
"김세정(wkda****)","1","진짜 평점 10점준사람들 다 알바에요 제발 속지마시고 진짜 시간이랑 돈 너무 아까웠어요 여기 뺑반 보신분 있으신가요? 저는 불행히도 둘다 못걸렀네요 제발 걸러주세요 평점 1점 많은 이유 잘 생각해보시고 가족끼리 보시더라도 무조건 걸러주세요  "
"혜진냥(end6****)","1","같이 본사람들 다 하나같이 재미없다면서 나왔는데 후기뭐지.. 원작내용 급급하게 넣느라 이도저도아니고 진짜 실망....  "
"이주호(lee9****)","1","진심 드럽게 재미앖습니다  "
"딸ㄱㄱ(setg****)","1","한국 영화계의 퇴보를 보았습니다..  "
"나캐봄(jiho****)","2","시나리오를 너무 대충썼네  "
"nasa****","1","최근 5년 기준 제일 돈아까운 영화임  "
"박태현(kjjp****)","1","내 인생 최악의 영화중 한편으로 꼽는다...  "
"망순이(sani****)","1","최악이다 진짜 국내영화는 알바 판치는듯  코미디를 표현하려는건 하나도 안웃기고  김래원 연기력만 아까워진 느낌  "
"잠실갈매기(suzu****)","1","영화 다보고 나오면 이 생각들거임..꼭 그래야만했냐!!!ㅠㅠ  "
"hard(harm****)","1","조폭 코미디를 다시 보게 될줄이야. 올드함과 클리쉐의 범벅  "
"gyung(gyun****)","1","날 때린 여자는 네가 첨이었어.. 로 시작하는 영화 ㅠㅠ 세기말 감성 오져버렸고 ㅋㅋㅋ 좀 늦었다는 장면에서는 진짜 실소 터졌다  "
"훔다이크가즈아(dudd****)","2","쓰레기 좌좀영화 우엑 역겨유ㅓㅇ  "
"dhdl****","1","아니 영화마무리는 지어야지 갑자기 노래를 쳐불러부면 어쩌란거냐? 씌2벌 라라랜드여?  "
"태지나칭칭(ps80****)","1","노잼 쌍팔년도 스토리.. 댓글알바에 속지마세요  "
"달리고(solo****)","4","뻔한결말 뻔한소재  킬링타임용진부한소재 짬뽕 / 조폭이 국회의원 출마, 용감한시민 되서 호응도 상승 = 사기꾼이 국회의원출마: 국민여러분 (드라마) 같은 레파토리 친구 아들 죽어서 친구어머니 한테 미안해 하는장면 = 해바라가 같은소재  "
"Bricks(mysy****)","4","알바새기들 치가떨린다 하.. 속았네  "
"The visual is power(cute****)","1","여주가 안예뻐서 재미가 떨어짐  "
"이농이(whdl****)","1","처음으로 영화보다가 핸드폰함 여기요 여기요 밖에 못하는 여주 그런 여주한테 한눈에 반해 깡패짓 갑자기 그만둔 래원  "
"사무롸이(samu****)","2","재미없다.진심 영화최악.  "
"짱짱걸(jisu****)","1","지루하면서 늘어짐....보기힘듬  "
"Antoine Griezmann(lims****)","10","주인 할매 얘긴 들었다 오태식이 슬퍼서 어쩌냐  "
"nana****","2","나만당할수없다 예고편에속지마시길  "
"STONE9(revo****)","4","영화가 너무 부연설명하는 씬이 쓸데없이 많이 나오다보니 흐름이 느릿느릿하다.시원한 액션도 그렇다고 정치영화의 긴장감이나 서스펜스도 유머도 개연성도 그것도 아니면 스토리의 흥미로움이나 신선함이라도 그 어떤것도 찾아볼수 없다.범죄도시의 감독작품이라 안믿김  "
"밤톨이(eunj****)","6","계속 휴대폰 시간 확인하면서 봄 김래원,진선규연기 때문에 그나마 나았지만 개연성없음, 지루하고 여주 연기 어색하고.. 후  "
"오늘(flpd****)","4","너무 진부하고 뻔한 영화. 영화보다 카메오 보는 재미가 더 있다.  "
"버섯(zlzl****)","5","공짜로 보여주면은 보고 내돈주고는 안보는영화  "
"로렌치(lore****)","1","래원이형이 아까운 영화  "
"qubi****","1","여배우는 주구장창 화만내고 김래원은 뜬금없이 여주한테반하고 범죄도시 재밋게봐서 기대햇는데 내용도그렇고너무별로임..  "
"hyyeoni(alrz****)","6","킬링타임용 여자쥔공 연기 약간 오그라듬 ㅠ  "
"메롱(toge****)","1","이게 한국영화 수준이다  "
"랜디(nkyr****)","1","진짜 한 마디만 한다. 평점 10점에 속아 이 영화를 봤다. 오글거리고, 억지 감동 그 자체. 이 영화에 평점 5점준 평론가들은 다 OOO 한다. 보지 마라. 절대 보지 말 것. 나의 이유없는 선의가 단 한 명의 2시간이라도 살릴 수 있길.  "
"시루파(park****)","2","여배우 연기가 발연기였어요.목소리 톤. 듣기싫어 어쩔.ㅜㅜ  "
"가나다라(week****)","2","그냥 재미없고 유치하고 그런 영화?10대의 눈으로 보면 재밌을 영화에요.  "
"jd68****","1","원진아 ?몹니까?-- 발연기 제대로  "
"dang****","1","안 봐도 됨.. 안 보면 더 좋음 ..  "
"Kug(dday****)","4","관람객식상함 스토리진행이 급하게 느껴짐개연성 너무 단조로움  "
