"title_list","star_list","txt_list"
"miumiu","평점3점","영화한편본듯한책.대단한책이지만 개인적으로는 사이코패스의 긴긴 이야기가 읽기힘들었다"
"bigarare","평점4점","정말 손에서 놓지 못하는 빠져드는 책이네요"
"쭈","평점5점","읽으면서 머릿속에 펼쳐지네요. 정말 재밌게 봤어요"
"bymin","평점5점","한 번 읽기 시작하면 중간에 놓지 못하는 흥미진진 장편"
"쿄득이","평점5점","오랜만에 장편소설같은 장편소설"
"coolsolitude","평점5점","선물용, 마음에 들었으면 좋겠어요"
"yerim0561","평점5점","역시 정유정 작가!"
"dream9714","평점5점","숨기쁜 전개 눈을 뗄수 없게 만드는 묘사"
"pirakko","평점4점","재밌긴했는데 마지막장의 현수의 어투가 어울리지않고 어색했다"
"하백","평점5점","오랫만에 맛보는 재미난 소설!!"
"보미","평점5점","호불호갈리지만 진짜 재미있음^^*"
"집요정","평점4점","잘 읽었어여 추천함"
"zizelle","평점5점","가독성이 좋아요"
"1","평점4점","매우 재밌습니다"
"전브라덜","평점5점","소설이 이렇게 빨리 읽어지기는 처음"
"dlgoxor","평점4점","머릿 속에서 그림이 그려지는

배경이 상상이 되는 그런 소설 입니다"
"12nsh","평점5점","이번달 숙제~~기대되는 소설입니다~"
"옹마미","평점4점","흥미진진 합니다"
"구일","평점5점","서원에게 일어나는 모든 일은 아버지의 음주운전에서 비롯되었을까."
"이쁜처키","평점5점","친구에게 선물 주려고 구입했어요."
"taep37","평점5점","좋아요
꼭 읽어보고 싶었던 책!"
"전진ad","평점5점","잘읽을께요"
"5329566","평점5점","영화도 기대가 됩니다 
현수역이 류승룡씨... 체구가 좀^^;;;"
"ksu","평점5점","눈에 보이듯 서술되고 생각과는 다르게 전개되어 다른 일을 못하고 잠을 못자고계속읽게됩니다"
"love11801","평점4점","좋습니다"
"hermes5011","평점5점","일단 시작하면 끝을 봐야할만큼 잼나요~"
"jhlee7373","평점4점","앞부분만 읽은 후 찜찜히고  어두워서 한달간 접어둔 책.그러나 이를 극복하면 끝까지 정독"
"윤구","평점5점","워낙 유명하니까!! 무서운거 못보는데ㅠㅠ"
"jeeyoung57","평점5점","감명깊게 읽었습니다."
"bluetel","평점5점","모바일 무료 맛보기 몇장 보다가 바로 주문^^*"
"sy00514","평점5점","몇번을 고민하고 산 책....아직 읽지않았지만 기대됩니다."
"cns146","평점3점","읽은지한참됐지만 내용자체가 너무어둡고 무섭네요"
"sonpere","평점5점","금방 다 읽게 되네요"
"xowland","평점4점","역시 정유정작가님... 재미있어요~"
"glad0279","평점5점","재밌습니다"
"shia00","평점5점","재밌게 잘읽었습니다"
"뽈땡이","평점5점","기대됩니다."
"love11801","평점5점","재미있었엉ㅇ!"
"kidarilover","평점5점","재밌어요 책이 좀 긴 편인데 금방 읽게 돼요"
"옹사마","평점5점","믿고보는 정유정님. 영화로도 나온다는 얘기가있던데 기대됩니다."
"modestyh","평점5점","글자를 읽는데 영상이 머릿속을 지나다닌다. 흥미로운 책"
"은바람꽃","평점5점","재밌게 읽었어요"
"핑코","평점5점","시간가는줄 모르고 읽어버렸어요"
"shia00","평점5점","좋아하는 작가라 기대됩니다."
"asdic","평점5점","흥미진진하게 보았답니다;;"
"audrbsdl","평점5점","치밀한 스토리 반전 대박"
"hbfhrjd","평점5점","진짜 읽으면 시간 가는 줄 모릅니다"
"her8406","평점5점","한번 시작하면 멈출 수 없어요!"
"ywj71","평점5점","eBook으로 읽고, 잼있어서 외국에 있는 친구에게도 보냈네요.,"
"와와","평점5점","긴장감있는 스토리라 기대됩니다."
"gjtndk","평점5점","좋아하는 작가의 새로운 멋진 소설이어서 내용도 궁금하고 꼭 읽고 싶습니다."
"tmzkdl","평점5점","정유정 작가의 매력적인 필체를 만날 수 있는 작품일 것 같아 기대가 큽니다."
"슈가통통","평점5점","한귀퉁이에 숨어 사건을 지켜보는 느낌. 긴장감 있게 지루할틈 없이 흐르는 이야기."
"annalice","평점5점","워낙 관심이 가던 책이고 영화로도 나올 예정이라 어떤 내용인지 기대 됩니다."
"양념통닭","평점5점","한국장르소설로서는 독보적인 내용의 책이라서 꼭 읽어볼만한 책입니다."
"ok0157","평점5점","수많은 캐릭터의 군상극을 통해, 밀도 있고 감동적인 드라마를 이끌어내다"
"jparkjpark","평점5점","이 시대를 살아가고 있는 다양한 인간군상, 인간의 본질을 밀도있게 조명한 소설이에요."
"phappy83","평점5점","한국 소설의 저력과 놀라운 몰입도를 보여준 책. 영화는 또 어떤 그림일지 정말 기대됩니다"
"johyo","평점5점","이 시대를 살아가는 다양한 인간군상, 인간의 본질을 밀도 있게 조명한 책이라 인상깊습니다."
"**04  6 2017  9:43PM**","평점5점","강렬한 소재와 빠져드는 글"
"wviuwuviu","평점5점","소재가 마음에 들어요"
"달님이","평점5점","정유정 작가님의 글은 언제나 봐도 새롭고 또 새롭네요. 빠져들게 만드는 작가님만의 매력!"
"brown","평점5점","한 순간도 눈을 뗄 수 없는 압도적인 몰입감이 돋보이는 작품입니다."
"yurilove74","평점4점","열심히읽어야죠"
"루시아","평점5점","여운이 오래남는 강렬한 소설이었습니다. 곱씹어서 읽게 되네요"
"에어","평점5점","정유정 작가님의 소설은 늘 흡입력이 대단합니다. 그래서 이 책도 짧은 시간에 다 읽었습니다"
"Xion","평점5점","7년이란 세월 그리고 아버지와 아들의 이야기 정말 잘쓰여진 글이라고 생각합니다."
"남십자성","평점5점","작가님의 소설을 좋아합니다"
"acss","평점5점","깊은 소설이라는 생각이 든다 읽어보길 추천"
"bndfoor","평점5점","정유정의 소설은 앉은 자리에서 전부 다 읽을 정도로 흡입력 있다."
"sozxcds","평점5점","7년의밤 동안 아버지와 아들에게 일어난 슬프고 신비로우며 통렬한 이야기가 기대되네요."
"cuyevnn","평점5점","색다른 소재와 흥미로운 스토리 전개로 강렬한 인상을 남기는 소설인 것 같아 기대됩니다!"
"anllatoo","평점5점","7년의 밤 동안 아버지와 아들에게 일어난 슬프고 신비로우며 통렬한 이야기."
"good","평점5점","정유정의 소설을 좋아해 여러 권을 읽었습니다. 상상을 계속 이어가게 만드는 즐거움이 있어요"
"사과나무","평점5점","7년의 밤은 예전에 구입해서 재미있게 읽었던 기억이 있습니다. 몰입이 편한 책이라 좋아요."
"즐거운편지","평점5점","살인자의 아들로, 아버지의 사형 집행인으로 사는 주인공의 이야기가 궁금합니다"
"dalrae73","평점5점","2011년 네티즌이 선정한 책이라니 더 기대됩니다"
"searoute12","평점5점","짜릿한 문장과 탄탄한 캐릭터 설정, 물 샐 틈 없는 세계관으로 직조된 이 작품이 기대됩니다"
"행복바이러스","평점5점","7년의 밤 동안 아버지와 아들에게 일어난 슬프고 신비로우며 통렬한 이야기 기대되요"
"cholim59","평점5점","극복하고 이겨내는 사람들의 희망적인 이야기  들여다보는 날카로운 시선의 이야기가 기대됩니다"
"thdaksdn","평점5점","앉은 자리에서 전부 다 읽을 정도로 흡입력 있다 재미있다고 권해서 빨리 읽고 싶어지네요"
"lswlove98","평점5점","특유의 색다른 소재와 흥미로운 스토리 전개로 강렬한 인상을 남기는 소설인것 같아 기대됩니다"
"dadaigsun","평점5점","문학을 통틀어 가장 기억에 남는 책장을 덮어도 계속 생각나던 책 꼭 읽어두려고 합니다."
"limsim1","평점5점","섬뜩하면서도 한결같이 묵직한 인생의 모서리를 정면으로 만나는 기분  짜임새있는 스토리"
"cholim60","평점5점","심리 추리 스릴러 장르로 인물의 성격이 사람의 내면에 주목하게 하는 인상깊은 소설이에요"
"yhl3309","평점5점","한순간의 실수가 불러온 돌이킬 수 없는 인생의 절벽 영화로 만들어져도 정말 대박칠거같다."
"lsc2222","평점5점","독창적 상상의 삽화를 쉴새없이 만들어내도록 하는 섬세한 표현과 속도감 기대하고 있습니다"
"cholim58","평점5점","페이지가 줄어드는게 아까운 손에 땀을 쥐며 읽은 책입니다 작가분의 다른 책 읽어보고 싶어요"
